PLAYER ,TEAM ,AGE ,GP ,W ,L ,MIN ,PTS ,FGM ,FGA ,FG_PCT,3PM ,3PA ,3P_PCT,FTM ,FTA ,FT_PCT,OREB ,DREB ,REB ,AST ,TOV ,STL ,BLK ,PF ,FP ,DD2 ,TD3 ,PLUS_MINUS
Jaxson Hayes,NOP ,21,60,24,36,16.1,7.5,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2,77.5,1.5,2.8,4.3,0.6,0.7,0.4,0.6,1.7,16,0,0,-0.4
Javonte Green,CHI ,27,41,19,22,11.6,3.6,1.3,2.5,52,0.2,0.7,33.3,0.7,1,75,0.6,1.1,1.7,0.4,0.5,0.7,0.1,1.1,8.3,0,0,0.4
Jarrett Culver,MIN ,22,34,7,27,14.7,5.3,2,4.9,41.1,0.4,1.6,24.5,0.9,1.4,60.4,1,2.1,3.1,0.7,0.8,0.5,0.3,1.7,11.5,1,0,-3.9
Jarrett Allen,CLE ,23,63,20,43,29.6,12.8,4.7,7.7,61.8,0.1,0.3,31.6,3.2,4.6,70.3,3.1,6.9,10,1.7,1.6,0.5,1.4,1.5,31.6,25,0,-3.2
Jarrell Brantley,UTA ,25,28,23,5,4.9,2.3,0.9,1.9,48.1,0.4,1,42.9,0.1,0.1,100,0.3,0.6,1,0.5,0.3,0.3,0.1,0.6,4.9,0,0,-0.9
Jarred Vanderbilt,MIN ,22,64,18,46,17.8,5.4,2.2,3.7,60.6,0,0.1,20,0.9,1.6,55.9,1.8,3.9,5.8,1.2,0.8,1,0.7,1.9,18.4,3,0,-0.8
Jaren Jackson Jr.,MEM ,21,11,4,7,23.5,14.4,4.8,11.4,42.4,1.5,5.5,28.3,3.2,3.8,83.3,1.5,4.1,5.6,1.1,1.4,1.1,1.6,3.8,29.6,0,0,-5.8
Jared Harper,NYK ,23,8,5,3,2,0.4,0,0.5,0,0,0.1,0,0.4,0.5,75,0,0.3,0.3,0.1,0.4,0,0,0.1,0.5,0,0,-0.6
Jared Dudley,LAL ,35,12,7,5,6.7,0.5,0.2,0.8,22.2,0.2,0.5,33.3,0,0,0,0.3,1.4,1.8,0.4,0.2,0.1,0.1,0.6,3.6,0,0,0.2
James Wiseman,GSW ,20,39,18,21,21.4,11.5,4.9,9.4,51.9,0.3,1,31.6,1.4,2.2,62.8,1.4,4.4,5.8,0.7,1.5,0.3,0.9,3.1,21.5,3,0,-4.7
James Nunnally,NOP ,30,9,3,6,5.3,1.7,0.6,1.4,38.5,0.4,1.3,33.3,0.1,0.2,50,0.2,0.8,1,0.3,0.2,0,0,0.1,3.1,0,0,-0.4
James Johnson,NOP ,34,51,21,30,20.5,7.2,2.9,6.4,44.6,0.6,2.4,25.8,0.9,1.5,59.2,0.6,2.8,3.5,1.9,1.1,0.8,0.8,2.4,18.1,0,0,-2.5
James Harden,BKN ,31,44,31,13,36.6,24.6,7.8,16.7,46.6,2.8,7.6,36.2,6.3,7.3,86.1,0.8,7.1,7.9,10.8,4,1.2,0.8,2.3,52.1,32,12,2.3
James Ennis III,ORL ,30,41,12,29,24.1,8.4,2.8,5.9,47.3,1.1,2.5,43.3,1.7,2.1,80.5,1,3,4,1.5,0.9,0.8,0.2,2,17.5,1,0,-1.8
Jamal Murray,DEN ,24,48,31,17,35.5,21.2,7.9,16.5,47.7,2.7,6.6,40.8,2.8,3.2,86.9,0.8,3.3,4,4.8,2.3,1.3,0.3,2,35.8,1,0,6.3
Jalen Smith,PHX ,21,27,19,8,5.8,2,0.8,1.9,44,0.1,0.6,23.5,0.2,0.3,71.4,0.3,1.1,1.4,0.1,0.3,0,0.1,0.6,4.1,1,0,-0.6
Jalen McDaniels,CHA ,23,47,18,29,19.2,7.4,2.8,6,46.8,0.7,2.2,33.3,1,1.4,70.3,1,2.6,3.6,1.1,1,0.6,0.4,2,15.4,2,0,-3.8
Jalen Lecque,IND ,21,4,2,2,3,1.3,0.3,2.3,11.1,0,0.3,0,0.8,0.8,100,0.5,0.8,1.3,0.5,0,0,0,0,3.5,0,0,-1
Jalen Harris,TOR ,22,13,3,10,13.2,7.4,2.8,5.5,50,1.3,2.8,47.2,0.5,0.7,77.8,0.2,1.2,1.4,1.3,1.1,0.6,0,1.2,11.8,0,0,-0.1
Jalen Brunson,DAL ,24,68,40,28,25,12.6,4.8,9.2,52.3,1.2,2.9,40.5,1.8,2.2,79.5,0.4,3,3.4,3.5,1.2,0.5,0,1.6,22.4,1,0,2.4
Jakob Poeltl,SAS ,25,69,32,37,26.7,8.6,3.8,6.2,61.6,0,0,0,0.9,1.8,50.8,3.2,4.8,7.9,1.9,1.2,0.7,1.8,2.5,27.2,15,0,1.6
Jake Layman,MIN ,27,45,12,33,13.9,5.1,2,4.1,49.5,0.5,1.7,29.5,0.6,0.8,70.3,0.3,1.2,1.5,0.6,0.6,0.6,0.4,1,10.5,0,0,-1.8
Jahmi'us Ramsey,SAC ,20,13,5,8,7.3,3.1,1.2,2.9,39.5,0.4,1.5,26.3,0.4,0.4,100,0.2,0.6,0.8,0.5,0.2,0.3,0.1,0.6,5.6,0,0,0.2
Jahlil Okafor,DET ,25,27,5,22,12.9,5.4,2.3,3.8,61.8,0.1,0.3,22.2,0.6,0.9,70.8,0.9,1.6,2.4,0.5,0.8,0.2,0.2,1.4,9.5,0,0,-3.1
Jae'Sean Tate,HOU ,25,70,17,53,29.2,11.3,4.5,8.9,50.6,0.9,2.8,30.8,1.5,2.1,69.4,1.9,3.5,5.3,2.5,1.4,1.2,0.5,3.2,25.4,3,0,-2.7
Jae Crowder,PHX ,30,60,42,18,27.5,10.1,3.3,8.2,40.4,2.5,6.3,38.9,1,1.3,76,0.5,4.2,4.7,2.1,0.9,0.8,0.5,2.1,21.7,0,0,3.6
Jaden McDaniels,MIN ,20,63,18,45,24,6.8,2.6,5.8,44.7,1.1,3.1,36.4,0.4,0.7,60,0.8,2.9,3.7,1.1,0.7,0.6,1,2.7,16.7,0,0,-1.6
Jabari Parker,BOS ,26,13,4,9,12.7,5.5,2.3,4.2,54.5,0.2,0.8,18.2,0.8,1,76.9,0.8,2.5,3.2,0.8,0.8,0.1,0.4,1,11.3,0,0,-1.1
JaVale McGee,DEN ,33,46,21,25,14.7,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1,1.5,65.7,1.7,3.5,5.2,0.8,1.3,0.4,1.2,2.6,18.3,1,0,-1.9
JaMychal Green,DEN ,31,58,38,20,19.3,8.1,3,6.4,46.3,1.4,3.4,39.9,0.8,1,80.7,1.5,3.3,4.8,0.9,0.9,0.4,0.4,2.5,16.8,1,0,1.7
JaKarr Sampson,IND ,28,29,14,15,10.9,4.6,1.9,3.9,49.6,0.1,0.5,20,0.7,1,65.5,0.9,1.7,2.7,0.1,0.5,0.1,0.5,1.8,9.2,0,0,0.1
