,Year,Round,Region Number,Region Name,Seed,Score,Team,Team.1,Score.1,Seed.1,Pointdiff,Winner,Champs,MM19,,Seed,Matchup,Champs
63,1986,1,1,Southeast,1,75,Kentucky,Davidson,55,16,20,1,0,Yes (1),,1,16,0
64,1986,1,1,Southeast,2,68,Georgia Tech,Marist,53,15,15,1,0,No,,2,15,0
65,1986,1,1,Southeast,3,95,Memphis,Ball St,63,14,32,1,0,No,,3,14,0
66,1986,1,1,Southeast,4,75,Illinois,Fairfield,51,13,24,1,0,No,,4,13,0
67,1986,1,1,Southeast,5,97,Alabama,Xavier,80,12,17,1,0,No,,5,12,0
68,1986,1,1,Southeast,6,87,Purdue,LSU,94,11,7,2,0,Yes (1),,6,11,0
69,1986,1,1,Southeast,7,62,Virginia Tech,Villanova,71,10,9,2,0,Yes (1),,7,10,0
70,1986,1,1,Southeast,8,67,Western Kentucky,Nebraska,59,9,8,1,0,No,,8,9,0
71,1986,1,2,West,1,83,St Johns,Montana St,74,16,9,1,0,No,,1,16,0
72,1986,1,2,West,2,93,Louisville,Drexel,73,15,20,1,0,Yes (1),,2,15,0
73,1986,1,2,West,3,84,North Carolina,Utah,72,14,12,1,0,Yes (1),,3,14,0
74,1986,1,2,West,4,74,UNLV,Louisiana Monroe,51,13,23,1,0,No,,4,13,0
75,1986,1,2,West,5,69,Maryland,Pepperdine,64,12,5,1,0,Yes (1),,5,12,0
76,1986,1,2,West,6,66,UAB,Missouri,64,11,2,1,0,No,,6,11,0
77,1986,1,2,West,7,83,Bradley,UTEP,65,10,18,1,0,Yes (1),,7,10,0
78,1986,1,2,West,8,73,Auburn,Arizona,63,9,10,1,0,Yes (1),,8,9,0
79,1986,1,3,East,1,85,Duke,Mississippi Valley St,78,16,7,1,0,Yes (1),,1,16,0
80,1986,1,3,East,2,101,Syracuse,Brown,52,15,49,1,0,Yes (1),,2,15,0
81,1986,1,3,East,3,79,Indiana,Cleveland St,83,14,4,2,0,No,,3,14,0
82,1986,1,3,East,4,80,Oklahoma,Northeastern,74,13,6,1,0,Yes (1),,4,13,0
83,1986,1,3,East,5,68,Virginia,DePaul,72,12,4,2,0,Yes (1),,5,12,0
84,1986,1,3,East,6,60,St Josephs,Richmond,59,11,1,1,0,No,,6,11,0
85,1986,1,3,East,7,87,Navy,Tulsa,68,10,19,1,0,No,,7,10,0
86,1986,1,3,East,8,72,Old Dominion,West Virginia,64,9,8,1,0,Yes (1),,8,9,0
87,1986,1,4,Midwest,1,71,Kansas,North Carolina A&T,46,16,25,1,0,Yes (1),,1,16,0
88,1986,1,4,Midwest,2,70,Michigan,Akron,64,15,6,1,0,Yes (1),,2,15,0
89,1986,1,4,Midwest,3,83,Notre Dame,Arkansas Little Rock,90,14,7,2,0,No,,3,14,0
90,1986,1,4,Midwest,4,70,Georgetown,Texas Tech,64,13,6,1,0,Yes (2),,4,13,0
91,1986,1,4,Midwest,5,72,Michigan St,Washington,70,12,2,1,0,Yes (1),,5,12,0
92,1986,1,4,Midwest,6,66,NC State,Iowa,64,11,2,1,0,Yes (2),,6,11,0
93,1986,1,4,Midwest,7,81,Iowa St,Miami Ohio,79,10,2,1,0,Yes (1),,7,10,0
94,1986,1,4,Midwest,8,50,Jacksonville,Temple,61,9,11,2,0,No,,8,9,0
95,1986,2,1,Southeast,1,71,Kentucky,Western Kentucky,64,8,7,1,0,Yes (1),,1,8,0
96,1986,2,1,Southeast,2,66,Georgia Tech,Villanova,61,10,5,1,0,Yes (2),,2,10,0
97,1986,2,1,Southeast,3,81,Memphis,LSU,83,11,2,2,0,Yes (2),,3,11,0
98,1986,2,1,Southeast,4,56,Illinois,Alabama,58,5,2,2,0,No,,4,5,0
